EMPRESA,MODALIDAD_CONTRACTUAL,Segmento,ANO,TRIMESTRE,NUMERO_DE_BAJAS,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2019,I,11121,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2019,I,390640,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2019,I,30355,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2019,I,57262,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2019,I,2474942,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2019,I,4695,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2019,I,169995,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2019,I,2843,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2019,I,626932,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2019,II,71093,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2019,II,349182,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2019,II,15111,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2019,II,39682,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2019,II,2377187,,
Entel_Peru_S.A.,Control,Residencial,2019,II,357770,,
Entel_Peru_S.A.,Postpago,Residencial,2019,II,1745,,
Entel_Peru_S.A.,Prepago,Residencial,2019,II,1227985,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,II,17,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2019,II,23974,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2019,II,524561,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2019,II,39687,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2019,II,55012,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2019,II,2842006,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2019,II,4621,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2019,II,173389,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2019,II,3036,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2019,II,627325,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2019,III,66758,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2019,III,361099,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2019,III,16089,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2019,III,36492,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2019,III,2120226,,
Entel_Peru_S.A.,Control,Residencial,2019,III,351049,,
Entel_Peru_S.A.,Postpago,Residencial,2019,III,1776,,
Entel_Peru_S.A.,Prepago,Residencial,2019,III,930288,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,III,1800,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2019,III,18568,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2019,III,582439,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2019,III,47781,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2019,III,43637,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2019,III,2853368,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2019,III,5173,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2019,III,215745,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2019,III,1376,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2019,III,481592,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2019,IV,68172,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2019,IV,308073,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2019,IV,13905,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2019,IV,26133,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2019,IV,2108889,,
Entel_Peru_S.A.,Control,Residencial,2019,IV,343963,,
Entel_Peru_S.A.,Postpago,Residencial,2019,IV,3905,,
Entel_Peru_S.A.,Prepago,Residencial,2019,IV,781804,,
GUINEA MOBILE S.A.C.,Prepago,Residencial,2019,IV,30,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,IV,6850,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2019,IV,9464,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2019,IV,626439,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2019,IV,47475,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2019,IV,34649,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2019,IV,2425305,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2019,IV,3187,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2019,IV,130527,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2019,IV,3363,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2019,IV,801223,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2020,I,69585,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2020,I,236845,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2020,I,32396,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2020,I,19550,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2020,I,1544328,,
Entel_Peru_S.A.,Control,Residencial,2020,I,306082,,
Entel_Peru_S.A.,Postpago,Residencial,2020,I,6529,,
Entel_Peru_S.A.,Prepago,Residencial,2020,I,851901,,
GUINEA MOBILE S.A.C.,Prepago,Comercial,2020,I,200,,
GUINEA MOBILE S.A.C.,Prepago,Residencial,2020,I,775,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2020,I,760,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2020,I,6874,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2020,I,551958,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2020,I,52797,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2020,I,20208,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2020,I,1854211,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2020,I,3915,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2020,I,154052,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2020,I,4736,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2020,I,1126988,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2020,II,36486,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2020,II,186540,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2020,II,8345,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2020,II,17663,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2020,II,26148,,
Entel_Peru_S.A.,Control,Residencial,2020,II,68238,,
Entel_Peru_S.A.,Postpago,Residencial,2020,II,3668,,
Entel_Peru_S.A.,Prepago,Residencial,2020,II,695824,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2020,II,2255,,
Guinea Mobile S.A.C.,Prepago,Residencial,2020,II,46,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2020,II,2569,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2020,II,83188,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2020,II,40876,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2020,II,5219,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2020,II,1338467,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2020,II,367,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2020,II,16587,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2020,II,340,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2020,II,155852,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2020,III,83840,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2020,III,467711,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2020,III,13779,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2020,III,26046,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2020,III,2322520,,
Entel_Peru_S.A.,Control,Residencial,2020,III,376117,,
Entel_Peru_S.A.,Postpago,Residencial,2020,III,5437,,
Entel_Peru_S.A.,Prepago,Residencial,2020,III,713816,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2020,III,300,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2020,III,2884,,
Guinea Mobile S.A.C.,Prepago,Residencial,2020,III,848,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2020,III,10700,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2020,III,491915,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2020,III,49826,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2020,III,15607,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2020,III,1505491,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2020,III,3597,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2020,III,148455,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2020,III,229,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2020,III,183809,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2020,IV,81949,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2020,IV,519099,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2020,IV,16657,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2020,IV,31939,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2020,IV,2508397,,
Entel_Peru_S.A.,Control,Residencial,2020,IV,378750,,
Entel_Peru_S.A.,Postpago,Residencial,2020,IV,7250,,
Entel_Peru_S.A.,Prepago,Residencial,2020,IV,925137,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2020,IV,1398,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2020,IV,19181,,
GUINEA MOBILE S.A.C.,Prepago,Comercial,2020,IV,73,,
GUINEA MOBILE S.A.C.,Prepago,Residencial,2020,IV,793,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2020,IV,12023,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2020,IV,358259,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2020,IV,42413,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2020,IV,9470,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2020,IV,711927,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2020,IV,4067,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2020,IV,201532,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2020,IV,3216,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2020,IV,1569969,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2021,I,90976,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2021,I,308213,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2021,I,20408,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2021,I,32761,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2021,I,988173,,
Entel_Peru_S.A.,Control,Residencial,2021,I,390466,,
Entel_Peru_S.A.,Postpago,Residencial,2021,I,8588,,
Entel_Peru_S.A.,Prepago,Residencial,2021,I,866688,,
GUINEA MOBILE S.A.C.,Prepago,Comercial,2021,I,116,,
GUINEA MOBILE S.A.C.,Prepago,Residencial,2021,I,2085,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2021,I,11978,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2021,I,331081,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2021,I,52457,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2021,I,18330,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2021,I,952461,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2021,I,11191,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2021,I,206591,,
VIETTEL_PERU_S.A.C.,Postpago,Residencial,2021,I,8,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2021,I,2584,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2021,I,915560,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2021,I,405,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2021,I,12869,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2021,II,2638,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2021,II,39153,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2021,II,55827,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2021,II,321942,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2021,II,1015273,,
Entel_Peru_S.A.,Postpago,Residencial,2021,II,5481,,
Entel_Peru_S.A.,Control,Residencial,2021,II,396218,,
Entel_Peru_S.A.,Prepago,Residencial,2021,II,1031782,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2021,II,773,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2021,II,9798,,
