Empresa,Modalidad Contractual,Segmento,Ano,Trimestre,Numero de Bajas
ENTEL Peru S.A.,Postpago,Residencial,2022,III,"6,673"
ENTEL Peru S.A.,Control,Residencial,2022,III,"519,829"
ENTEL Peru S.A.,Prepago,Residencial,2022,III,"1,046,612"
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2022,III,845
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2022,III,"3,652"
GUINEA MOBILE S.A.C.,Prepago,Comercial,2022,III,714
GUINEA MOBILE S.A.C.,Prepago,Residencial,2022,III,"6,209"
SUMA MOVIL Peru S.A.C.,Prepago,Residencial,2022,III,19
Telefonica DEL Peru S.A.A.,Control,Comercial,2022,III,"9,967"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2022,III,"23,207"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2022,III,"195,069"
Telefonica DEL Peru S.A.A.,Control,Residencial,2022,III,"326,098"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2022,III,"1,893,748"
VIETTEL PERU S.A.C.,Prepago,Comercial,2022,III,"1,583"
VIETTEL PERU S.A.C.,Control,Comercial,2022,III,"5,610"
VIETTEL PERU S.A.C.,Control,Residencial,2022,III,"418,230"
VIETTEL PERU S.A.C.,Prepago,Residencial,2022,III,"1,012,635"
VIETTEL PERU S.A.C.,Control,Comercial,2022,IV,514
VIETTEL PERU S.A.C.,Control,Residencial,2022,IV,"135,433"
VIETTEL PERU S.A.C.,Prepago,Comercial,2022,IV,864
VIETTEL PERU S.A.C.,Prepago,Residencial,2022,IV,"220,840"
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2022,IV,"1,207"
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2022,IV,"6,079"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2022,IV,"6,471"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2022,IV,"56,103"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2022,IV,"60,434"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2022,IV,"460,779"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2022,IV,"1,441,893"
GUINEA MOBILE S.A.C.,Prepago,Comercial,2022,IV,403
GUINEA MOBILE S.A.C.,Prepago,Residencial,2022,IV,"6,299"
SUMA MOVIL Peru S.A.C.,Prepago,Residencial,2022,IV,46
Telefonica DEL Peru S.A.A.,Control,Comercial,2022,IV,"2,282"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2022,IV,"19,585"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2022,IV,"161,812"
Telefonica DEL Peru S.A.A.,Control,Residencial,2022,IV,"353,104"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2022,IV,"1,356,971"
ENTEL Peru S.A.,Postpago,Residencial,2022,IV,"11,433"
ENTEL Peru S.A.,Control,Residencial,2022,IV,"502,233"
ENTEL Peru S.A.,Prepago,Residencial,2022,IV,"1,012,878"
